login_hour,after_hours_flag,session_duration_mins,usb_events_count,files_accessed_count,email_count,unique_domains_visited,email_ext_recipient_count
11,0,395.31666666666666,0,0,11,34,12
7,0,553.0,0,0,11,41,10
12,0,261.8,0,0,1,8,2
12,0,371.9166666666667,0,0,9,39,11
12,0,243.05,0,0,1,9,0
7,0,625.0,0,0,9,34,5
9,0,741.0,0,0,3,18,1
7,0,672.0,0,0,3,10,0
7,0,561.0,0,0,15,64,15
9,0,728.0,0,0,8,36,9
8,0,442.0,0,0,11,45,13
7,0,619.0,8,1,11,31,4
9,0,733.0,0,0,14,22,5
6,1,526.3333333333334,6,14,10,46,18
9,0,551.0,0,0,3,21,7
11,0,309.0333333333333,0,0,11,41,4
7,0,625.0,0,0,1,8,0
13,0,207.06666666666666,1,1,2,34,0
9,0,554.0,0,0,9,37,10
7,0,559.0,0,0,1,9,0
8,0,546.0,0,0,10,34,4
11,0,287.26666666666665,4,7,3,14,4
7,0,549.0,8,0,9,41,2
8,0,550.0,0,0,1,7,0
8,0,430.3,1,8,0,15,0
9,0,370.53333333333336,0,0,27,20,7
7,0,625.0,0,0,1,9,0
8,0,563.0,0,0,8,26,2
8,0,559.0,2,6,1,7,0
11,0,293.56666666666666,0,0,1,7,1
9,0,551.0,0,0,3,16,1
9,0,745.0,0,0,3,22,5
13,0,263.9166666666667,0,0,5,31,2
8,0,678.0,0,0,1,7,0
8,0,623.0,0,0,1,7,0
7,0,664.0,0,0,9,14,6
7,0,623.0,0,0,9,39,7
9,0,558.0,3,3,4,14,2
6,0,614.0,0,0,9,32,7
10,0,550.8166666666667,2,5,8,31,2
8,0,677.0,0,0,8,31,3
18,1,539.1333333333333,6,16,10,43,1
9,0,547.0,0,0,3,16,3
13,0,259.95,0,0,9,23,3
7,0,557.0,0,0,9,43,2
7,0,549.0,0,0,1,9,0
8,0,495.0,0,0,3,16,3
7,0,545.0,0,0,15,43,15
14,0,155.58333333333334,0,0,3,18,1
7,0,486.0,0,0,15,51,12
9,0,550.0,0,0,10,46,10
8,0,557.0,0,0,15,43,5
9,0,736.0,0,0,3,18,0
8,0,563.0,0,0,1,9,0
8,0,492.0,0,0,3,17,2
12,0,507.51666666666665,0,0,9,30,1
13,0,356.7,2,4,1,7,0
11,0,418.5,4,4,5,37,3
7,0,479.0,0,0,14,48,17
7,0,617.0,0,0,1,8,0
7,0,615.0,0,0,9,26,9
8,0,684.0,0,0,1,6,1
13,0,495.15,0,0,15,45,9
7,0,488.0,0,0,4,55,2
13,0,214.96666666666667,0,0,15,28,8
8,0,503.0,0,0,3,22,0
7,0,494.0,0,0,15,49,10
12,0,238.63333333333333,0,0,9,13,10
16,0,293.56666666666666,1,5,10,32,1
8,0,500.0,0,0,3,19,2
9,0,747.0,0,0,10,36,2
9,0,735.0,0,0,9,38,8
11,0,320.2,7,27,19,48,2
8,0,559.0,0,0,9,16,1
7,0,618.0,0,0,14,9,16
8,0,614.0,0,0,1,8,0
12,0,371.55,0,0,18,34,6
7,0,548.0,0,0,18,24,8
9,0,729.0,0,0,3,16,2
9,0,734.0,9,8,9,27,1
7,0,616.0,0,0,9,31,6
9,0,555.0,0,0,3,7,2
8,0,583.0,8,27,10,25,1
7,0,604.0,0,0,1,9,0
7,0,552.0,0,0,1,7,0
13,0,159.83333333333334,0,0,14,29,4
7,0,608.0,0,0,15,34,2
12,0,280.25,1,8,15,38,2
13,0,454.81666666666666,0,0,8,23,5
7,0,556.0,0,0,1,9,1
8,0,679.0,0,0,9,34,10
7,0,561.3666666666667,0,0,15,45,2
14,0,300.3666666666667,0,0,1,10,1
7,0,500.0,0,0,9,33,2
9,0,490.0,0,0,3,18,4
8,1,539.4666666666667,0,0,11,29,4
13,0,211.16666666666666,9,5,15,54,14
7,0,667.0,0,0,14,10,12
8,0,558.0,0,0,1,9,0
8,0,687.0,0,0,6,42,1
8,0,679.0,0,0,1,10,2
13,0,349.0,1,7,1,10,1
7,0,534.0,0,0,1,8,0
7,0,504.0,0,0,10,31,14
7,0,487.0,0,0,14,35,6
8,0,540.0,0,0,14,36,7
9,0,554.0,0,0,3,13,2
8,0,678.0,0,0,9,33,2
8,0,510.0,0,0,3,17,1
7,0,669.0,0,0,9,28,9
7,0,612.0,0,0,9,31,14
8,0,547.0,0,0,15,35,3
7,0,499.0,0,0,14,42,17
6,0,551.0,0,0,11,47,4
8,0,545.0,0,0,9,31,1
9,0,555.0,0,0,9,38,2
12,0,330.46666666666664,0,0,7,8,5
8,0,554.0,2,0,4,17,1
8,0,567.0,0,0,15,33,14
8,0,667.0,0,0,9,36,14
7,0,611.0,0,0,11,39,15
11,0,372.28333333333336,2,8,9,31,5
8,0,673.0,0,0,9,42,5
7,0,551.0,0,0,1,6,0
14,0,223.13333333333333,0,0,1,8,1
8,0,554.0,0,0,11,38,0
11,0,551.4833333333333,4,9,15,32,5
7,0,609.0,2,4,9,31,7
12,0,255.41666666666666,0,0,9,39,3
12,0,192.28333333333333,0,0,14,19,5
10,0,551.6333333333333,2,9,15,61,11
6,0,527.6,0,0,11,35,5
7,0,627.0,0,0,9,28,8
11,0,373.78333333333336,1,3,1,9,1
7,0,690.0,2,3,7,18,4
7,0,503.0,0,0,9,38,6
8,0,677.0,0,0,1,9,0
12,0,233.88333333333333,0,0,1,8,0
9,0,179.38333333333333,2,3,3,15,0
8,0,556.0,0,0,15,58,6
8,0,553.0,0,0,0,7,0
8,0,553.0,0,0,14,59,17
7,0,496.0,0,0,15,9,6
7,0,551.0,0,0,9,32,9
8,0,492.0,0,0,3,14,2
16,0,553.45,1,3,9,44,7
9,0,552.0,0,0,3,16,4
4,1,187.68333333333334,0,0,11,37,4
7,0,614.0,0,0,15,56,10
11,0,266.03333333333336,0,0,26,65,10
8,0,552.0,9,25,4,41,1
7,0,609.0,0,0,11,25,1
14,0,161.78333333333333,1,0,3,20,6
7,0,562.0,0,0,15,58,14
7,0,493.0,0,0,7,34,3
7,0,550.0,0,0,15,34,3
7,0,563.9666666666667,0,0,1,7,0
8,0,677.0,0,0,1,9,0
7,0,490.0,0,0,14,31,7
7,0,617.0,0,0,1,7,1
11,0,391.95,0,0,9,44,7
8,0,619.0,0,0,1,8,0
20,1,564.9333333333334,0,0,11,28,2
7,0,613.0,0,0,1,7,0
7,0,610.0,0,0,15,12,17
5,1,333.43333333333334,0,0,11,39,5
7,0,549.0,0,0,9,28,7
8,0,489.0,0,0,3,15,3
8,0,550.0,0,0,1,9,1
7,0,557.0,0,0,1,8,0
8,0,563.0,0,0,9,42,11
9,0,555.0,0,0,9,25,8
9,0,550.0,8,21,3,22,3
9,0,745.0,0,0,3,17,5
7,0,606.0,0,0,1,10,0
7,0,616.0,0,0,9,33,13
7,0,616.0,0,0,15,47,5
8,0,553.0,0,0,8,33,5
7,0,503.0,0,0,9,21,5
7,0,565.0,0,0,15,39,9
9,0,731.0,0,0,3,16,0
12,0,336.23333333333335,0,0,15,43,13
7,0,619.0,0,0,15,41,5
14,0,372.51666666666665,0,0,9,36,2
1,1,525.0,0,0,11,30,3
12,0,524.7,2,5,9,38,7
7,0,621.0,0,0,1,9,0
12,0,184.01666666666668,0,0,13,40,3
8,0,494.0,0,0,14,46,6
12,0,369.1,0,0,2,14,2
14,0,251.56666666666666,0,0,1,5,0
13,0,202.01666666666668,0,0,14,33,12
8,0,619.0,0,0,11,30,4
7,0,568.0,0,0,9,28,3
13,0,293.2,1,7,1,8,0
7,0,662.0,0,0,3,13,1
8,0,496.0,0,0,3,23,2
8,0,548.0,0,0,1,9,0
8,0,492.0,0,0,13,34,18
5,1,509.1666666666667,0,0,10,26,1
7,0,671.0,0,0,14,32,7
7,0,498.0,0,0,14,40,16
7,0,670.0,0,0,3,17,4
12,0,383.54999999999995,0,0,10,24,6
8,0,491.0,1,6,3,16,3
13,0,286.1666666666667,0,0,9,15,4
14,0,407.18333333333334,3,3,1,17,1
7,0,614.05,2,3,9,41,4
14,0,198.83333333333334,0,0,3,19,0
9,0,560.0,1,3,9,22,2
8,0,671.0,0,0,9,31,9
7,1,552.0166666666667,0,0,10,50,17
8,0,560.0,0,0,15,12,9
11,0,347.7333333333333,0,0,15,48,11
23,1,400.56666666666666,0,0,11,28,8
7,0,561.0,0,0,1,4,0
7,0,621.0,0,0,9,33,5
6,0,566.0,0,0,10,43,6
15,0,197.96666666666667,1,27,3,17,0
11,0,399.3333333333333,0,0,9,39,8
7,0,611.0,0,0,18,33,2
8,0,628.0,0,0,1,8,0
7,0,556.0,0,0,15,36,7
8,0,533.0,0,0,14,37,3
7,0,684.0,0,0,9,26,1
8,0,546.0,0,0,15,37,3
7,0,671.0,0,0,3,8,2
14,0,164.65,0,0,11,38,10
7,0,608.0,0,0,1,8,0
7,0,612.0,0,0,11,39,5
8,1,518.8666666666667,12,13,10,43,9
9,0,725.0,0,0,3,19,1
7,0,610.0,0,0,14,37,10
7,0,502.0,0,0,13,33,16
7,0,553.0,0,0,9,29,8
7,0,560.0,0,0,9,20,10
9,0,557.0,0,0,3,12,0
13,0,143.03333333333333,1,3,15,15,4
7,0,498.0,0,0,9,38,5
8,0,738.0,0,0,9,31,4
7,0,616.0,0,0,1,7,0
7,0,615.0,0,0,9,38,0
7,0,676.0,0,0,9,30,6
9,0,732.0,0,0,0,16,0
12,0,286.15,9,0,14,14,4
8,0,744.0,1,4,8,36,9
7,0,620.0,0,0,9,35,1
7,0,557.0,0,0,15,24,2
7,0,500.0,0,0,11,38,4
9,0,536.0,0,0,10,29,2
13,0,209.93333333333334,2,0,16,47,5
17,0,612.2666666666667,2,3,1,6,0
7,0,612.0,0,0,9,36,0
7,0,492.0,0,0,11,43,5
21,1,505.51666666666665,0,0,11,36,4
13,0,338.53333333333336,0,0,9,33,6
7,0,562.0,0,0,13,36,5
13,0,326.25,0,0,9,50,6
7,0,624.0,0,0,9,39,4
7,0,660.0,0,0,3,19,0
10,0,407.98333333333335,0,0,13,58,1
7,0,612.0,9,8,14,36,12
8,0,615.0,0,0,1,8,0
7,0,682.0,0,0,7,26,4
9,0,732.0,0,0,3,16,3
5,1,507.21666666666664,1,1,11,13,4
14,0,334.1,3,7,9,39,0
8,0,555.0,2,0,15,59,4
9,0,725.0,0,0,3,18,1
8,0,545.0,0,0,14,34,6
7,0,495.0,0,0,11,38,11
7,0,485.0,0,0,9,32,3
8,0,622.0,0,0,8,29,7
9,0,391.8333333333333,9,26,8,30,6
7,0,506.0,0,0,15,28,13
7,0,557.0,0,0,9,34,3
13,0,228.43333333333334,3,6,8,28,3
8,0,554.0,0,0,15,36,6
11,0,472.18333333333334,2,2,9,40,10
8,0,619.0,0,0,1,9,2
8,0,560.0,0,0,15,32,16
11,0,319.8,0,0,3,17,2
11,0,334.5,3,6,14,60,5
12,0,398.7,0,0,9,28,8
9,0,560.0,0,0,3,14,0
17,0,344.7,0,0,1,9,0
7,0,611.0,3,2,9,37,3
9,0,555.0,0,0,3,22,2
8,0,547.0,0,0,0,7,0
8,0,501.0,0,0,3,17,1
8,0,677.0,0,0,7,33,1
7,0,553.0,0,0,1,7,0
7,0,555.0,0,0,9,37,5
7,0,612.0,0,0,15,48,5
13,0,154.33333333333334,8,24,14,30,7
7,0,611.0,0,0,1,8,0
13,1,394.5333333333333,0,0,10,46,16
12,0,379.4166666666667,9,0,1,8,0
11,0,369.31666666666666,0,0,9,29,4
7,0,683.0,0,0,9,33,2
13,0,299.2,3,9,9,24,6
7,0,490.0,0,0,11,40,3
8,0,498.0,0,0,2,22,1
7,0,500.0,0,0,15,46,6
7,0,506.0,0,0,18,46,14
12,0,383.28333333333336,0,0,5,15,4
9,0,724.0,0,0,3,15,0
8,0,535.0,2,27,14,39,15
7,0,495.0,0,0,15,45,8
7,0,486.0,0,0,14,47,12
7,0,549.0,0,0,1,8,2
11,0,598.25,7,3,9,36,9
8,0,603.0,0,0,1,9,0
11,0,422.7,0,0,9,38,13
7,0,561.0,0,0,1,4,0
7,0,544.0,0,0,1,8,0
7,0,619.0,0,0,15,39,17
7,0,554.0,0,0,1,6,1
7,0,627.0,0,0,9,34,11
14,0,347.8333333333333,0,0,11,44,2
8,0,600.0,0,0,1,9,0
7,0,547.0,0,0,15,11,19
7,0,498.0,0,0,15,39,4
8,0,746.0,0,0,9,34,2
8,0,501.0,0,0,3,15,2
8,0,500.0,0,0,5,26,4
13,0,178.13333333333333,0,0,9,27,6
8,0,667.0,0,0,1,9,1
9,0,553.0,0,0,3,21,2
15,0,170.65,1,2,9,34,7
8,0,493.0,0,0,3,11,1
8,0,728.0,2,7,9,43,3
7,0,558.0,0,0,15,30,16
7,0,568.1833333333333,0,0,27,76,6
7,0,504.0,0,0,11,38,10
7,0,553.0,0,0,1,5,2
8,0,673.0,2,6,9,26,4
7,0,481.5,1,21,10,38,5
7,0,612.0,0,0,9,39,6
7,0,487.0,0,0,9,33,7
12,0,224.55,0,0,1,6,0
7,0,487.0,0,0,13,41,11
7,0,610.0,3,4,9,21,10
7,0,502.0,1,0,15,37,11
13,0,222.33333333333334,9,0,15,34,7
8,0,548.0,0,0,9,28,6
7,0,609.0,3,4,15,22,15
7,0,551.0,0,0,9,28,2
8,0,603.0,7,0,1,7,0
9,0,729.0,0,0,3,19,1
7,0,624.0,0,0,1,7,0
7,0,558.0,0,0,1,8,1
7,0,561.0,0,0,9,21,3
7,0,566.0,0,0,15,36,7
7,0,615.0,0,0,1,8,0
9,0,559.0,0,0,8,38,3
7,0,552.0,0,0,15,37,11
13,0,195.66666666666666,0,0,15,43,15
11,0,297.18333333333334,0,0,9,25,5
8,0,554.0,0,0,15,33,13
12,1,164.28333333333333,1,1,11,39,7
11,0,432.5833333333333,0,0,9,34,5
8,0,622.0,0,0,1,8,1
7,0,672.0,0,0,9,20,8
14,0,254.68333333333334,0,0,1,6,0
8,0,725.0,0,0,9,30,11
8,0,562.0,0,0,15,39,9
8,0,611.0,0,0,1,5,0
7,0,568.0,0,0,1,8,0
7,0,435.0,0,0,36,27,36
8,0,557.0,0,0,1,10,0
13,0,292.85,9,23,1,10,0
7,0,604.0,0,0,8,53,5
8,0,491.0,1,8,3,13,4
8,1,515.9333333333333,0,0,11,36,6
7,0,611.0,0,0,11,38,6
8,0,559.0,0,0,8,37,7
12,0,247.11666666666667,0,0,9,32,15
9,0,554.0,0,0,1,22,2
7,0,546.0,0,0,15,62,12
7,0,502.0,0,0,14,49,14
14,0,232.41666666666666,2,5,3,15,0
7,0,559.0,3,0,14,47,19
8,0,731.0,0,0,9,29,5
7,0,552.0,0,0,9,27,6
7,0,484.0,0,0,15,10,13
13,0,129.08333333333334,1,11,16,26,11
6,1,513.6333333333333,0,0,11,15,5
8,0,536.0,0,0,15,56,15
9,0,563.0,9,21,3,8,1
20,1,523.3666666666667,0,0,10,40,3
8,0,671.0,0,0,1,8,0
7,0,619.0,0,0,1,9,0
7,0,621.0,0,0,9,42,10
7,0,609.0,0,0,10,30,4
7,0,563.0,0,0,9,20,4
8,0,485.0,0,0,8,32,2
7,0,557.0,0,0,1,7,0
8,0,494.0,0,0,2,12,4
8,0,495.0,0,0,3,18,2
9,0,742.0,0,0,3,22,1
7,0,496.0,0,0,9,38,2
9,0,731.0,0,0,3,21,1
13,0,139.75,0,0,27,34,5
11,0,265.5833333333333,0,0,19,41,3
10,0,374.8333333333333,9,0,1,9,2
8,0,490.0,0,0,3,12,2
11,0,444.6,0,0,8,37,4
8,0,499.0,3,6,3,20,0
7,0,611.0,2,7,9,22,5
8,0,490.0,0,0,3,15,1
12,0,539.95,0,0,3,22,0
7,0,674.0,0,0,9,36,3
13,0,164.56666666666666,0,0,11,27,8
22,1,559.8833333333333,0,0,11,39,8
14,0,312.6166666666667,0,0,1,8,0
7,0,561.0,0,0,14,51,11
7,0,494.0,1,4,9,22,12
11,0,338.96666666666664,0,0,9,30,2
13,0,321.85,2,6,9,46,12
11,0,322.75,0,0,9,29,4
13,0,219.61666666666667,0,0,15,35,2
9,0,744.0,0,0,3,20,2
7,0,553.0,0,0,5,28,3
8,0,678.0,0,0,9,20,8
7,0,621.0,0,0,1,10,0
7,0,621.0,0,0,1,9,0
8,0,556.0,0,0,11,44,15
8,0,677.0,0,0,9,47,9
13,0,167.9,2,0,9,41,0
8,0,669.0,0,0,9,33,4
7,0,557.0,0,0,13,35,17
7,0,551.0,0,0,15,35,12
9,0,537.0,1,3,3,25,3
7,0,563.0,0,0,15,33,10
7,0,498.0,0,0,9,43,7
8,0,484.0,0,0,2,7,1
7,0,600.0,9,16,5,32,1
18,1,503.9,0,0,11,48,2
8,0,492.0,0,0,0,17,0
7,0,620.0,0,0,15,35,19
7,0,667.0,0,0,9,41,7
8,0,683.0,0,0,0,5,0
7,0,320.8833333333334,0,0,1,8,1
7,0,557.0,0,0,9,38,5
8,0,674.0,0,0,9,23,3
7,0,668.0,0,0,3,17,5
8,0,554.0,0,0,1,10,1
7,0,623.0,0,0,9,30,3
19,1,540.3333333333334,0,0,11,15,10
8,0,492.0,0,0,3,18,0
12,0,358.53333333333336,0,0,9,39,9
8,0,550.0,0,0,13,36,7
23,1,517.2166666666667,0,0,10,32,2
7,0,556.0,0,0,1,7,0
8,0,611.0,0,0,14,52,3
7,0,499.0,0,0,9,26,9
7,0,551.0,0,0,3,19,0
9,0,554.0,0,0,3,12,0
19,1,538.7833333333333,0,0,11,35,5
7,0,603.0,0,0,9,27,8
7,0,619.0,0,0,9,20,3
7,0,618.0,0,0,1,9,2
7,0,184.0,0,0,10,33,12
7,0,554.0,0,0,11,35,7
9,0,566.0,0,0,9,37,9
11,0,247.68333333333334,0,0,15,33,4
7,0,497.0,0,0,9,33,1
7,0,604.0,0,0,10,32,5
12,0,375.18333333333334,0,0,3,16,1
