row_index,top_reasons
0,email_count_zscore=-18.8; usb_events_count=7.0; usb_events_count_zscore=-2.0
19579,files_accessed_count=22.0; usb_events_count=7.0; session_duration_mins_zscore=5.5
19602,session_duration_mins=1193.5; files_accessed_count=20.0; usb_events_count=8.0
19657,after_hours_flag=1.0; files_accessed_count=21.0; usb_events_count=9.0
20087,files_accessed_count=47.0; usb_events_count=12.0; after_hours_flag=1.0
20490,email_count_zscore=-28.5; files_accessed_count_zscore=2.4; session_duration_mins=131.0
21143,email_ext_recipient_count=44.0; email_count=28.0; session_duration_mins=67.8
21309,unique_domains_visited=86.0; email_count=27.0; usb_events_count=4.0
21821,unique_domains_visited=90.0; email_ext_recipient_count=39.0; email_count=27.0
21878,usb_events_count=13.0; files_accessed_count=29.0; login_hour=23.0
22361,session_duration_mins=1445.8; login_hour=2.0; session_duration_mins_zscore=5.1
22417,session_duration_mins=969.6; usb_events_count=8.0; files_accessed_count=21.0
22593,usb_events_count=14.0; files_accessed_count=32.0; login_hour=22.0
22910,unique_domains_visited=89.0; email_count=27.0; usb_events_count=3.0
23169,files_accessed_count=30.0; usb_events_count=5.0; files_accessed_count_zscore=3.2
24449,login_hour=23.0; after_hours_flag=1.0; usb_events_count=5.0
25388,usb_events_count_zscore=-4.9; files_accessed_count=21.0; usb_events_count=6.0
25424,usb_events_count=8.0; files_accessed_count=16.0; login_hour=2.0
25558,email_count=35.0; email_ext_recipient_count=40.0; session_duration_mins=62.7
25721,usb_events_count_zscore=3.8; usb_events_count=5.0; after_hours_flag=1.0
25761,files_accessed_count=37.0; usb_events_count=11.0; after_hours_flag=1.0
25873,email_count_zscore=-34.2; email_count=0.0; files_accessed_count=4.0
26039,after_hours_flag=1.0; login_hour=2.0; usb_events_count_zscore=-2.0
26466,usb_events_count=13.0; files_accessed_count=27.0; after_hours_flag=1.0
26583,login_hour=23.0; after_hours_flag=1.0; usb_events_count=4.0
26758,usb_events_count_zscore=-7.1; email_count_zscore=-19.2; session_duration_mins=39.0
26770,files_accessed_count_zscore=-3.8; usb_events_count_zscore=-4.2; login_hour=1.0
26787,usb_events_count_zscore=-9.8; session_duration_mins=26.4; unique_domains_visited=0.0
27051,email_count_zscore=-16.2; after_hours_flag=1.0; files_accessed_count=10.0
27266,login_hour=23.0; usb_events_count=8.0; after_hours_flag=1.0
27951,usb_events_count=12.0; files_accessed_count=28.0; login_hour=21.0
28158,usb_events_count=10.0; files_accessed_count=21.0; session_duration_mins=888.4
29015,files_accessed_count=32.0; usb_events_count=11.0; login_hour=22.0
29168,usb_events_count=12.0; login_hour=1.0; files_accessed_count=14.0
29202,email_ext_recipient_count=38.0; unique_domains_visited=75.0; email_count=27.0
29532,session_duration_mins_zscore=26.2; usb_events_count=8.0; after_hours_flag=1.0
29614,files_accessed_count=32.0; usb_events_count=11.0; after_hours_flag=1.0
29661,email_count=36.0; email_ext_recipient_count=49.0; unique_domains_visited=54.0
29712,login_hour=0.0; usb_events_count=6.0; after_hours_flag=1.0
29966,unique_domains_visited=77.0; email_ext_recipient_count=36.0; email_count=27.0
30691,email_ext_recipient_count=38.0; email_count=26.0; usb_events_count=3.0
30848,session_duration_mins=978.5; files_accessed_count_zscore=2.9; after_hours_flag=1.0
30964,usb_events_count=10.0; files_accessed_count=22.0; login_hour=21.0
31024,email_count=35.0; email_ext_recipient_count=42.0; unique_domains_visited=67.0
31078,login_hour=22.0; usb_events_count=7.0; after_hours_flag=1.0
31148,email_count_zscore=-39.5; session_duration_mins_zscore=-6.4; login_hour=0.0
31160,session_duration_mins=11.6; email_count_zscore=-12.9; unique_domains_visited=0.0
31164,email_count_zscore=-49.1; session_duration_mins=25.6; usb_events_count_zscore=-2.8
31165,usb_events_count_zscore=-10.5; files_accessed_count_zscore=-6.8; unique_domains_visited=0.0
31166,email_count_zscore=-19.0; session_duration_mins=40.5; after_hours_flag=1.0
31176,email_count_zscore=-35.7; session_duration_mins=34.1; after_hours_flag=1.0
31179,session_duration_mins=3.7; after_hours_flag=1.0; unique_domains_visited=0.0
31199,files_accessed_count=37.0; usb_events_count=13.0; login_hour=22.0
31220,after_hours_flag=1.0; unique_domains_visited=58.0; session_duration_mins=798.5
31585,usb_events_count_zscore=-15.0; unique_domains_visited=0.0; email_count_zscore=-9.4
32114,files_accessed_count=31.0; usb_events_count=11.0; login_hour=22.0
32207,email_ext_recipient_count=39.0; email_count=27.0; usb_events_count=4.0
32512,files_accessed_count=16.0; usb_events_count=5.0; after_hours_flag=1.0
32567,files_accessed_count=26.0; usb_events_count_zscore=-2.9; usb_events_count=7.0
32909,email_ext_recipient_count=50.0; email_count=36.0; unique_domains_visited=68.0
32949,usb_events_count=14.0; files_accessed_count=34.0; login_hour=20.0
33242,usb_events_count=12.0; files_accessed_count=14.0; login_hour=17.0
33575,email_ext_recipient_count=53.0; email_count=36.0; unique_domains_visited=67.0
33632,usb_events_count_zscore=4.4; usb_events_count=5.0; after_hours_flag=1.0
33660,email_count_zscore=5.7; session_duration_mins=978.1; session_duration_mins_zscore=6.2
33676,files_accessed_count=28.0; usb_events_count=6.0; after_hours_flag=1.0
33993,login_hour=0.0; usb_events_count=5.0; after_hours_flag=1.0
34102,files_accessed_count=35.0; usb_events_count=13.0; login_hour=23.0
34362,email_count_zscore=-15.5; files_accessed_count=27.0; usb_events_count=8.0
35310,files_accessed_count_zscore=-3.1; usb_events_count=10.0; login_hour=21.0
35526,session_duration_mins_zscore=48.8; session_duration_mins=1116.7; usb_events_count=9.0
35527,email_count_zscore=-19.2; session_duration_mins=38.9; after_hours_flag=1.0
35601,email_count_zscore=-7.9; login_hour=20.0; after_hours_flag=1.0
35746,files_accessed_count=29.0; usb_events_count=10.0; after_hours_flag=1.0
35768,email_count=36.0; email_ext_recipient_count=50.0; unique_domains_visited=63.0
36235,files_accessed_count_zscore=-9.7; usb_events_count_zscore=-15.4; email_count_zscore=-16.2
36412,unique_domains_visited=78.0; email_count=27.0; usb_events_count=4.0
36940,unique_domains_visited=74.0; email_count=26.0; email_ext_recipient_count=29.0
36943,files_accessed_count=28.0; usb_events_count=10.0; login_hour=1.0
37013,email_count_zscore=-15.4; after_hours_flag=1.0; usb_events_count=4.0
37664,usb_events_count_zscore=-3.5; files_accessed_count_zscore=-2.7; files_accessed_count=17.0
37843,files_accessed_count=28.0; login_hour=21.0; usb_events_count=7.0
38661,login_hour=20.0; files_accessed_count=20.0; after_hours_flag=1.0
38662,files_accessed_count=38.0; files_accessed_count_zscore=3.2; after_hours_flag=1.0
39246,unique_domains_visited=85.0; email_count=27.0; email_ext_recipient_count=29.0
39352,session_duration_mins=977.7; usb_events_count=9.0; login_hour=1.0
39452,files_accessed_count=36.0; login_hour=22.0; usb_events_count=9.0
39888,files_accessed_count=27.0; usb_events_count=6.0; email_ext_recipient_count=28.0
39923,after_hours_flag=1.0; usb_events_count_zscore=3.1; email_count_zscore=2.3
40016,session_duration_mins=1187.3; session_duration_mins_zscore=5.1; after_hours_flag=1.0
40083,login_hour=23.0; after_hours_flag=1.0; usb_events_count_zscore=-1.9
40923,session_duration_mins=1037.2; files_accessed_count=18.0; usb_events_count=9.0
41034,login_hour=23.0; usb_events_count=11.0; files_accessed_count=24.0
41281,files_accessed_count=21.0; usb_events_count=7.0; email_ext_recipient_count=27.0
41426,session_duration_mins=957.6; after_hours_flag=1.0; files_accessed_count_zscore=2.8
41539,session_duration_mins_zscore=20.1; files_accessed_count=27.0; login_hour=1.0
41793,files_accessed_count=50.0; usb_events_count=14.0; after_hours_flag=1.0
41981,email_ext_recipient_count=36.0; email_count=23.0; email_count_zscore=-9.3
42042,email_ext_recipient_count=33.0; usb_events_count=8.0; files_accessed_count=20.0
43273,usb_events_count=13.0; files_accessed_count=26.0; login_hour=21.0
43555,email_count=36.0; email_ext_recipient_count=39.0; unique_domains_visited=73.0
43639,email_count_zscore=-9.9; after_hours_flag=1.0; files_accessed_count=8.0
44170,usb_events_count=14.0; files_accessed_count=20.0; usb_events_count_zscore=3.1
44208,login_hour=22.0; usb_events_count=6.0; files_accessed_count=18.0
44210,usb_events_count=11.0; login_hour=0.0; files_accessed_count=18.0
44555,usb_events_count=14.0; files_accessed_count=37.0; login_hour=1.0
45042,login_hour=23.0; usb_events_count=7.0; after_hours_flag=1.0
45064,unique_domains_visited=92.0; email_count=27.0; email_ext_recipient_count=28.0
45113,session_duration_mins=1061.1; after_hours_flag=1.0; session_duration_mins_zscore=5.6
45871,usb_events_count=14.0; after_hours_flag=1.0; usb_events_count_zscore=2.6
45901,usb_events_count=14.0; files_accessed_count=35.0; after_hours_flag=1.0
46337,session_duration_mins=1292.5; session_duration_mins_zscore=9.3; usb_events_count=9.0
46585,files_accessed_count=30.0; usb_events_count=11.0; unique_domains_visited=62.0
47388,files_accessed_count=27.0; login_hour=21.0; usb_events_count=5.0
47644,usb_events_count=13.0; files_accessed_count=28.0; login_hour=0.0
48154,usb_events_count=14.0; login_hour=20.0; after_hours_flag=1.0
48609,files_accessed_count_zscore=-3.5; usb_events_count_zscore=-4.5; session_duration_mins_zscore=-4.9
48611,email_count_zscore=-17.8; session_duration_mins=11.4; login_hour=1.0
48694,files_accessed_count=45.0; usb_events_count=13.0; after_hours_flag=1.0
48905,email_count_zscore=-16.1; login_hour=22.0; after_hours_flag=1.0
49017,unique_domains_visited=83.0; email_count=27.0; files_accessed_count=14.0
49022,email_ext_recipient_count=56.0; email_count=36.0; session_duration_mins=107.2
49151,usb_events_count=10.0; email_count_zscore=-15.5; files_accessed_count=27.0
50312,email_count=35.0; email_ext_recipient_count=43.0; unique_domains_visited=68.0
50523,unique_domains_visited=86.0; email_count=26.0; email_ext_recipient_count=29.0
50575,files_accessed_count_zscore=27.2; files_accessed_count=5.0; usb_events_count=1.0
50639,usb_events_count=9.0; files_accessed_count_zscore=3.1; after_hours_flag=1.0
50700,usb_events_count=13.0; files_accessed_count=24.0; after_hours_flag=1.0
51366,unique_domains_visited=87.0; email_count=27.0; usb_events_count=3.0
51429,email_count=34.0; email_ext_recipient_count=39.0; session_duration_mins=93.3
51506,session_duration_mins=1094.4; session_duration_mins_zscore=6.9; usb_events_count=8.0
51796,login_hour=23.0; usb_events_count=5.0; files_accessed_count=20.0
51937,files_accessed_count=32.0; usb_events_count=10.0; login_hour=22.0
52012,usb_events_count=14.0; after_hours_flag=1.0; login_hour=4.0
52130,email_count_zscore=-24.2; session_duration_mins_zscore=-16.4; session_duration_mins=90.8
52194,files_accessed_count_zscore=-3.8; usb_events_count_zscore=-4.7; session_duration_mins=14.2
52341,unique_domains_visited=77.0; email_ext_recipient_count=34.0; email_count=27.0
52895,login_hour=23.0; files_accessed_count=28.0; usb_events_count=7.0
53039,files_accessed_count=39.0; usb_events_count=13.0; after_hours_flag=1.0
53781,unique_domains_visited=85.0; email_ext_recipient_count=35.0; email_count=27.0
53825,email_count_zscore=-20.7; after_hours_flag=1.0; usb_events_count=4.0
53829,usb_events_count=12.0; login_hour=22.0; after_hours_flag=1.0
54493,usb_events_count=14.0; after_hours_flag=1.0; files_accessed_count=13.0
54703,usb_events_count=13.0; files_accessed_count=30.0; login_hour=19.0
54962,usb_events_count=10.0; login_hour=0.0; files_accessed_count=27.0
55340,session_duration_mins_zscore=12.6; after_hours_flag=1.0; session_duration_mins=846.9
55764,files_accessed_count_zscore=-2.6; email_ext_recipient_count=32.0; email_count=27.0
56071,usb_events_count=13.0; files_accessed_count=30.0; files_accessed_count_zscore=4.5
56740,login_hour=0.0; files_accessed_count=26.0; after_hours_flag=1.0
56886,email_ext_recipient_count=44.0; unique_domains_visited=80.0; email_count=27.0
56906,email_count=34.0; session_duration_mins=69.7; email_ext_recipient_count=36.0
57280,files_accessed_count_zscore=-2.8; usb_events_count=6.0; files_accessed_count=16.0
57579,files_accessed_count=34.0; usb_events_count=12.0; login_hour=20.0
58353,unique_domains_visited=83.0; email_count=27.0; usb_events_count=4.0
58397,usb_events_count=13.0; files_accessed_count=30.0; login_hour=19.0
58682,files_accessed_count_zscore=8.6; usb_events_count=8.0; login_hour=17.0
59009,email_count_zscore=-28.5; usb_events_count=9.0; files_accessed_count_zscore=2.1
59377,email_count_zscore=-12.8; session_duration_mins=1011.4; login_hour=0.0
59454,files_accessed_count=25.0; after_hours_flag=1.0; unique_domains_visited=60.0
59655,email_count_zscore=-19.4; usb_events_count=8.0; files_accessed_count=4.0
59796,usb_events_count=13.0; files_accessed_count=29.0; login_hour=21.0
60070,usb_events_count_zscore=5.2; files_accessed_count=26.0; usb_events_count=3.0
60245,email_count_zscore=5.3; session_duration_mins=943.2; login_hour=1.0
60376,files_accessed_count=41.0; usb_events_count=12.0; after_hours_flag=1.0
60462,files_accessed_count=27.0; login_hour=1.0; after_hours_flag=1.0
60836,files_accessed_count_zscore=4.9; session_duration_mins=1012.6; after_hours_flag=1.0
61145,usb_events_count=6.0; unique_domains_visited=64.0; after_hours_flag=1.0
61573,usb_events_count=10.0; login_hour=22.0; files_accessed_count=23.0
61593,usb_events_count=13.0; login_hour=23.0; files_accessed_count=17.0
61779,login_hour=23.0; files_accessed_count=19.0; usb_events_count=5.0
61873,files_accessed_count=49.0; usb_events_count=14.0; after_hours_flag=1.0
62101,usb_events_count=13.0; after_hours_flag=1.0; files_accessed_count=9.0
62876,usb_events_count=5.0; login_hour=1.0; files_accessed_count=15.0
63023,files_accessed_count=41.0; usb_events_count=14.0; after_hours_flag=1.0
63257,usb_events_count=14.0; login_hour=1.0; files_accessed_count=21.0
63403,email_count_zscore=-22.6; after_hours_flag=1.0; usb_events_count=4.0
63431,email_ext_recipient_count=42.0; email_count=27.0; files_accessed_count=14.0
63767,login_hour=0.0; usb_events_count=8.0; after_hours_flag=1.0
63909,usb_events_count=10.0; files_accessed_count=24.0; after_hours_flag=1.0
64268,unique_domains_visited=70.0; email_count=26.0; usb_events_count=4.0
64624,files_accessed_count=31.0; usb_events_count=11.0; login_hour=18.0
64985,session_duration_mins=1092.0; login_hour=17.0; after_hours_flag=1.0
65007,usb_events_count=9.0; after_hours_flag=1.0; login_hour=1.0
65046,session_duration_mins_zscore=21.9; session_duration_mins=1276.7; login_hour=0.0
65106,session_duration_mins_zscore=-6.9; session_duration_mins=47.9; unique_domains_visited=0.0
65116,email_count_zscore=-43.0; session_duration_mins_zscore=-10.5; session_duration_mins=12.6
65117,email_count_zscore=-49.1; session_duration_mins_zscore=-5.6; unique_domains_visited=0.0
65127,files_accessed_count_zscore=-3.3; usb_events_count_zscore=-3.5; login_hour=0.0
65130,email_count_zscore=-20.4; session_duration_mins=57.3; after_hours_flag=1.0
65135,session_duration_mins=10.6; unique_domains_visited=0.0; after_hours_flag=1.0
65143,session_duration_mins=30.8; email_count_zscore=-14.0; login_hour=0.0
65149,session_duration_mins_zscore=-16.8; session_duration_mins=2.5; email_count_zscore=-12.2
65152,session_duration_mins_zscore=-8.8; unique_domains_visited=0.0; after_hours_flag=1.0
65154,session_duration_mins_zscore=-16.6; session_duration_mins=35.4; unique_domains_visited=0.0
65159,email_count_zscore=-17.3; after_hours_flag=1.0; unique_domains_visited=0.0
65161,email_count_zscore=-29.2; after_hours_flag=1.0; unique_domains_visited=0.0
65256,files_accessed_count_zscore=16.2; email_count_zscore=-22.6; usb_events_count_zscore=2.0
65583,usb_events_count=12.0; files_accessed_count=25.0; login_hour=21.0
65714,files_accessed_count=45.0; usb_events_count=14.0; login_hour=20.0
65899,email_count_zscore=-9.5; files_accessed_count=27.0; email_ext_recipient_count=27.0
66050,usb_events_count_zscore=-18.2; session_duration_mins=82.0; unique_domains_visited=0.0
66051,files_accessed_count_zscore=-2.7; usb_events_count_zscore=-2.8; unique_domains_visited=0.0
66052,email_count_zscore=-12.0; session_duration_mins=58.2; after_hours_flag=1.0
